,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,playlist_year
57,Beautiful Day,All That You Can't Leave Behind,U2,2000-01-01,246400,65,0.539,0.014,0.926,0.00136,0.36,-6.495,0.0499,136.279,4,2000
58,With Arms Wide Open,Human Clay,Creed,1999-01-01,274800,65,0.41,0.00425,0.539,0.00089,0.117,-8.412,0.0302,138.852,4,2000
59,The Riddle,L'Amour Toujours,Gigi D'Agostino,1999,285426,65,0.74,0.0173,0.876,0.00152,0.0785,-6.87,0.0369,127.002,4,2000
60,It Feels So Good,Hear My Cry,Sonique,2000-08-24,240866,64,0.634,0.0117,0.677,0.00103,0.126,-7.278,0.0304,135.012,4,2000
61,Everything You Want,Everything You Want,Vertical Horizon,1999-06-14,257066,64,0.636,0.0517,0.761,0.0,0.0642,-6.389,0.0306,93.896,4,2000
62,Um Anjo do Céu,Já,Maskavo,2000,199040,63,0.728,0.0208,0.667,0.0,0.18,-5.281,0.0328,132.028,4,2000
63,What a Girl Wants,Christina Aguilera (Expanded Edition),Christina Aguilera,1999,215800,63,0.754,0.0684,0.819,0.0,0.345,-6.833,0.112,142.137,4,2000
64,Tempos Modernos,Lulu Acústico,Lulu Santos,2000-12-02,224906,63,0.604,0.0564,0.638,0.0,0.965,-8.235,0.029,125.867,4,2000
65,Hemorrhage (In My Hands),Something Like Human,Fuel,2000-09-19,236866,63,0.301,0.000144,0.823,0.000309,0.0833,-4.072,0.0433,152.017,4,2000
66,Save Me,This Time Around,Hanson,2000-01-01,222573,62,0.541,0.0205,0.807,0.0,0.259,-5.333,0.03,145.124,4,2000
67,Fool Again,Westlife,Westlife,1999-11-01,234866,62,0.533,0.0475,0.512,0.0,0.0442,-6.851,0.0288,75.984,4,2000
68,I Need You,I Need You,LeAnn Rimes,2001-01-30,229826,61,0.478,0.02,0.736,9.58e-05,0.118,-7.124,0.0367,144.705,4,2000
69,Never Be The Same Again,Northern Star,Melanie C,1999,294200,61,0.689,0.0921,0.685,0.0,0.119,-5.153,0.0478,160.067,4,2000
70,Carolina,Carolina,Seu Jorge,2001,353866,41,0.627,0.0412,0.752,1.71e-05,0.204,-6.438,0.0425,89.995,4,2001
71,Chop Suey!,Toxicity,System Of A Down,2001-09-04,210240,82,0.417,0.000278,0.934,0.0015,0.132,-3.908,0.119,127.066,4,2001
72,The Middle,Bleed American,Jimmy Eat World,2001-07-17,165853,79,0.643,0.0371,0.849,0.0,0.058,-5.428,0.0526,162.152,4,2001
73,How You Remind Me,Silver Side Up,Nickelback,2001-09-11,223840,79,0.446,0.00135,0.764,0.0,0.099,-5.042,0.033,172.094,4,2001
74,Got What You Need,Scorpion,Eve,2001-01-01,232026,55,0.731,0.244,0.781,0.0,0.253,-5.536,0.268,99.588,4,2001
75,Island In The Sun,Weezer (Green Album),Weezer,2001-05-15,200306,78,0.654,0.00719,0.81,0.00251,0.165,-6.26,0.0288,114.623,4,2001
76,Try Again,Aaliyah,Aaliyah,2001-07-07,284640,66,0.794,0.0789,0.662,0.0,0.0937,-4.913,0.249,93.053,4,2001
77,It Wasn't Me,Hot Shot,Shaggy,2000-08-08,227600,78,0.853,0.0561,0.606,0.0,0.313,-4.596,0.0713,94.759,4,2001
78,Toxicity,Toxicity,System Of A Down,2001-09-04,218933,80,0.413,0.000264,0.873,0.00249,0.204,-4.151,0.0536,116.68,3,2001
79,One More Time,Discovery,Daft Punk,2001-03-12,320357,76,0.613,0.0194,0.697,0.0,0.332,-8.618,0.133,122.746,4,2001
80,Family Affair,No More Drama,Mary J. Blige,2001-01-01,265866,76,0.911,0.132,0.551,4.12e-05,0.0863,-3.75,0.0449,92.887,4,2001
81,Ride Wit Me,Country Grammar,Nelly,2000-06-27,291781,75,0.85,0.0616,0.7,1.8e-06,0.244,-6.49,0.0478,101.875,4,2001
82,"Whenever, Wherever",Laundry Service,Shakira,2001-11-13,196160,75,0.794,0.237,0.832,1.14e-05,0.203,-4.862,0.0407,107.657,4,2001
83,Rollin' (Air Raid Vehicle),Chocolate Starfish And The Hot Dog Flavored Water,Limp Bizkit,2000-10-17,213760,75,0.603,0.00591,0.933,0.0,0.206,-3.358,0.171,96.306,4,2001
84,In Too Deep,"All Killer, No Filler",Sum 41,2001-01-01,207093,75,0.568,0.000189,0.844,0.0,0.0607,-5.875,0.0505,116.046,4,2001
85,Drive,Make Yourself,Incubus,1999-10-26,232453,75,0.645,0.0562,0.792,0.0121,0.119,-7.34,0.036,90.565,4,2001
86,Wherever You Will Go,Camino Palmero,The Calling,2001,208600,74,0.558,0.0367,0.719,0.0,0.115,-5.113,0.0267,112.027,4,2001
87,Can't Get You out of My Head,Fever,Kylie Minogue,2001-10-01,230640,74,0.766,0.0263,0.563,0.683,0.115,-7.516,0.0339,126.007,4,2001
88,Your Body Is a Wonderland,Room For Squares,John Mayer,2001-08-16,249626,74,0.647,0.0206,0.729,0.0489,0.134,-6.251,0.0236,94.01,4,2001
89,Thank You,No Angel,Dido,1999,218360,73,0.725,0.3,0.583,0.000238,0.0665,-9.942,0.0427,79.984,4,2001
90,Let Me Blow Ya Mind,Scorpion,Eve,2001-01-01,230133,73,0.908,0.242,0.557,0.0,0.0709,-4.243,0.107,90.032,4,2001
91,First Date,Take Off Your Pants And Jacket,blink-182,2001,171533,73,0.579,0.000715,0.928,0.0,0.18,-4.344,0.0411,95.594,4,2001
92,Angel,Hot Shot,Shaggy,2000-08-08,235133,73,0.74,0.116,0.766,0.0,0.0406,-2.939,0.178,170.531,4,2001
93,Butterfly,The Gift Of Game,Crazy Town,1999-11-04,216733,72,0.736,0.00132,0.811,0.000142,0.107,-4.17,0.081,103.502,4,2001
94,Fat Lip,"All Killer, No Filler",Sum 41,2001-01-01,178266,72,0.402,0.000579,0.914,0.0,0.065,-5.215,0.142,196.505,4,2001
95,Follow Me,Double Wide,Uncle Kracker,2000-06-13,218439,72,0.817,0.439,0.585,0.0,0.147,-4.688,0.0301,105.014,4,2001
96,"Harder, Better, Faster, Stronger",Discovery,Daft Punk,2001-03-12,224693,71,0.817,0.0427,0.716,0.00263,0.358,-8.898,0.144,123.474,4,2001
97,Fell In Love With a Girl,White Blood Cells,The White Stripes,2001-07-03,110093,71,0.356,0.713,0.982,0.00145,0.941,-1.574,0.112,95.754,4,2001
98,Clint Eastwood,Gorillaz,Gorillaz,2001,340920,71,0.663,0.0253,0.694,0.0,0.0698,-8.627,0.171,167.953,4,2001
99,U Remind Me,8701,Usher,2001-08-07,266893,71,0.657,0.194,0.629,0.0,0.254,-4.938,0.0782,93.985,4,2001
100,Only Time,A Day Without Rain,Enya,2000-11-11,218546,71,0.418,0.841,0.249,0.661,0.112,-13.744,0.0301,82.803,4,2001
101,Survivor,Survivor,Destiny's Child,2001-05-01,254026,70,0.514,0.0559,0.911,0.0,0.775,-2.027,0.41,161.109,4,2001
102,Youth of the Nation,Satellite (U.S. Version),P.O.D.,2001-09-11,256240,70,0.563,0.00834,0.86,0.0106,0.39,-7.533,0.0621,97.867,4,2001
103,My Sacrifice,Weathered,Creed,2001-01-01,294600,70,0.32,0.000101,0.88,4.31e-06,0.076,-6.035,0.0504,146.349,4,2001
104,I'm Like A Bird,"Whoa, Nelly! (Expanded Edition)",Nelly Furtado,2000,243160,70,0.623,0.147,0.607,3.29e-06,0.227,-5.113,0.0353,89.654,4,2001
105,I'm a Slave 4 U,Britney (Digital Deluxe Version),Britney Spears,2001-10-31,203600,69,0.847,0.415,0.843,0.000134,0.107,-3.579,0.106,110.027,4,2001
106,Hit 'Em Up Style (Oops!),So Blu,Blu Cantrell,2001-01-18,250706,69,0.667,0.201,0.773,0.0,0.404,-4.983,0.0586,89.976,4,2001
107,Get the Party Started,M!ssundaztood (Expanded Edition),P!nk,2001,192533,69,0.802,0.0011,0.903,0.0,0.173,-3.267,0.046,128.93,4,2001
108,Again,Again,Lenny Kravitz,2000-01-01,231666,69,0.55,0.0148,0.804,4.33e-05,0.105,-5.218,0.0271,79.166,4,2001
109,Because I Got High,The Good Times,Afroman,2001-08-28,197760,69,0.802,0.169,0.341,0.0,0.0783,-8.56,0.488,166.01,4,2001
110,Get Ur Freak On,Miss E... So Addictive,Missy Elliott,2001-05-14,211120,68,0.797,0.533,0.75,0.108,0.095,-9.369,0.247,177.87,4,2001
111,Purple Pills,Devils Night,D12,2001-01-01,304506,68,0.78,0.0199,0.634,2.98e-05,0.29,-5.941,0.16,125.25,4,2001
112,Sing,The Invisible Band,Travis,2001-06-12,228800,68,0.33,0.000233,0.905,8.14e-06,0.0712,-5.047,0.0497,163.142,4,2001
113,Fallin',Songs In A Minor (Expanded Edition),Alicia Keys,2001-06-26,210200,68,0.652,0.263,0.609,0.00101,0.233,-7.519,0.037,95.986,3,2001
114,It's Been Awhile,Break the Cycle,Staind,2001-05-22,264706,67,0.509,0.00189,0.774,0.000549,0.143,-4.054,0.0338,116.529,4,2001
115,Where the Party At (feat. Nelly),Jagged Little Thrill,Jagged Edge,2001-07-03,232573,67,0.596,0.31,0.661,0.0,0.0847,-6.239,0.226,129.491,5,2001
116,I'm Real (feat. Ja Rule) - Murder Remix,J.Lo,Jennifer Lopez,2001-01-23,262133,66,0.708,0.273,0.587,0.0,0.0718,-7.93,0.151,83.46,4,2001
117,Last Nite,Is This It,The Strokes,2001-07-30,193373,66,0.624,0.0221,0.899,0.000137,0.0975,-5.709,0.0296,104.061,4,2001
118,Hanging By A Moment,No Name Face,Lifehouse,2000,216066,66,0.541,0.00118,0.864,0.0,0.0896,-4.915,0.0357,124.557,4,2001
119,You Rock My World,Invincible,Michael Jackson,2001-10-29,337733,66,0.854,0.038,0.673,0.000227,0.255,-3.132,0.185,95.0,4,2001
120,Epitáfio,A Melhor Banda De Todos Os Tempos Da Última Semana,Titãs,2001-04-04,175373,65,0.723,0.481,0.611,1.44e-05,0.11,-7.006,0.0303,111.813,4,2001
121,Lugar Ao Sol,100% Charlie Brown Jr - Abalando A Sua Fábrica,Charlie Brown Jr.,2001-01-01,212600,65,0.418,0.0427,0.768,0.537,0.275,-6.908,0.0306,141.371,4,2001
122,Something,Some Things,Lasgo,2001,220973,65,0.644,0.0271,0.981,9.67e-05,0.11,-6.644,0.0439,140.012,4,2001
123,Little L,A funk odyssey,Jamiroquai,2001-08-29,295400,65,0.878,0.168,0.724,0.0116,0.133,-5.373,0.129,121.906,4,2001
124,Lady Marmalade - Single Edit,Lady Marmalade,Various Artists,2001-06-26,267960,65,0.754,0.0185,0.811,5.18e-06,0.654,-3.679,0.0561,109.902,4,2001
125,Livin' It Up,Pain Is Love,Ja Rule,2001-01-01,257066,65,0.874,0.0554,0.768,0.0,0.041,-4.086,0.311,106.095,4,2001
126,Bootylicious,Survivor,Destiny's Child,2001-05-01,207906,64,0.84,0.00281,0.835,1.11e-06,0.152,-4.386,0.275,103.376,4,2001
127,If You're Gone,Mad Season,Matchbox Twenty,2000-05-23,274933,64,0.544,0.427,0.659,1.33e-06,0.126,-7.191,0.0298,109.933,4,2001
128,Underneath It All,Rock Steady (Expanded Edition),No Doubt,2001-12-11,302720,63,0.729,0.235,0.731,1.35e-06,0.391,-4.823,0.0682,138.204,4,2001
129,In Your Eyes,Fever,Kylie Minogue,2001-10-01,197826,62,0.689,0.133,0.894,4.72e-05,0.0681,-6.342,0.0672,123.971,4,2001
